"","pathway","pval_rna","padj_rna","log2err_rna","ES_rna","NES_rna","size_rna","leadingEdge_rna","pval_metabolites","padj_metabolites","ES_metabolites","NES_metabolites","nMoreExtreme_metabolites","size_metabolites","leadingEdge_metabolites"
"11","Cytosolic tRNA aminoacylation(reactome)","0.0228320526893524","0.0651531181359515","0.140333376717696","0.513560494023177","1.50970820170458","24","c(""gene_symbol:VARS"", ""gene_symbol:TARS"", ""gene_symbol:RARS"", ""gene_symbol:LARS"", ""gene_symbol:CARS"", ""gene_symbol:IARS"", ""gene_symbol:KARS"", ""gene_symbol:FARSA"", ""gene_symbol:QARS"", ""gene_symbol:EEF1E1"", ""gene_symbol:EPRS"", ""gene_symbol:GARS"", ""gene_symbol:AIMP1"", ""gene_symbol:AIMP2"", ""gene_symbol:AARS"", ""gene_symbol:DARS"", ""gene_symbol:SARS"", ""gene_symbol:MARS1"", ""gene_symbol:NARS"", ""gene_symbol:FARSB"", ""gene_symbol:HARS"")","0.00790330079033008","0.0707441802451497","0.895921672534418","1.54281864309137","16","4","c(""hmdb:HMDB0000182"", ""hmdb:HMDB0003405"")"
"12","Death Receptor Signaling(reactome)","0.0108194750550992","0.0343865650778405","0.196180346599056","0.372524555659235","1.36788157186598","147","c(""gene_symbol:ECT2"", ""gene_symbol:CASP8"", ""gene_symbol:PLEKHG2"", ""gene_symbol:NFKB1"", ""gene_symbol:NGF"", ""gene_symbol:VAV1"", ""gene_symbol:BIRC3"", ""gene_symbol:TNFRSF1A"", ""gene_symbol:CASP3"", ""gene_symbol:IKBKE"", ""gene_symbol:ADAM17"", ""gene_symbol:FGD2"", ""gene_symbol:RACK1"", ""gene_symbol:BCL2L11"", ""gene_symbol:RIPK1"", ""gene_symbol:MAPKAPK2"", ""gene_symbol:MYD88"", ""gene_symbol:HDAC1"", ""gene_symbol:AKAP13"", ""gene_symbol:RELA"", ""gene_symbol:AATF"", ""gene_symbol:ARHGEF40"", ""gene_symbol:RIPK2"", ""gene_symbol:ARHGEF1"", 
""gene_symbol:CASP2"", ""gene_symbol:CHUK"", ""gene_symbol:RPS27A"", ""gene_symbol:CFLAR"", ""gene_symbol:TRAF1"", ""gene_symbol:NFKBIA"", ""gene_symbol:VAV2"", ""gene_symbol:ARHGEF39"", ""gene_symbol:TRADD"", ""gene_symbol:FADD"", ""gene_symbol:APH1A"", ""gene_symbol:HDAC3"", ""gene_symbol:NET1"", ""gene_symbol:SPPL2A"", ""gene_symbol:TRAF2"", ""gene_symbol:IRAK1"", ""gene_symbol:GNA13"", ""gene_symbol:TNFSF10"", ""gene_symbol:RHOA"", ""gene_symbol:ARHGEF19"", ""gene_symbol:TAB2"", ""gene_symbol:NCSTN"", ""gene_symbol:ARHGEF2"", ""gene_symbol:IKBKB"", 
""gene_symbol:PRDM4"", ""gene_symbol:TNFAIP3"", ""gene_symbol:FGD3"", ""gene_symbol:ARHGEF6"", ""gene_symbol:NSMAF"", ""gene_symbol:ARHGDIA"", ""gene_symbol:TRAF6"", ""gene_symbol:OTULIN"", ""gene_symbol:FGD1"", ""gene_symbol:OTUD7B"")","0.0427631578947368","0.194122832794593","0.987341772151899","1.31791637467881","64","1","hmdb:HMDB0001565"
"13","Deubiquitination(reactome)","5.28938337900863e-06","5.15557081619838e-05","0.610526878385931","0.403567123475963","1.51915889333238","240","c(""gene_symbol:CDK1"", ""gene_symbol:CCNA2"", ""gene_symbol:PSMB8"", ""gene_symbol:TGFB1"", ""gene_symbol:PSMB9"", ""gene_symbol:CDC20"", ""gene_symbol:MYC"", ""gene_symbol:BRCA1"", ""gene_symbol:BARD1"", ""gene_symbol:TP53"", ""gene_symbol:CLSPN"", ""gene_symbol:BIRC3"", ""gene_symbol:TRIM25"", ""gene_symbol:ACTL6A"", ""gene_symbol:SKP2"", ""gene_symbol:CDC25A"", ""gene_symbol:NLRP3"", ""gene_symbol:USP18"", ""gene_symbol:IFIH1"", ""gene_symbol:RIPK1"", ""gene_symbol:TGFBR1"", ""gene_symbol:RIPK2"", ""gene_symbol:ARRB2"", ""gene_symbol:MAVS"", 
""gene_symbol:H2BC11"", ""gene_symbol:PSME1"", ""gene_symbol:TGFBR2"", ""gene_symbol:RPS27A"", ""gene_symbol:ACTB"", ""gene_symbol:PSMA5"", ""gene_symbol:NFKBIA"", ""gene_symbol:PSME4"", ""gene_symbol:UIMC1"", ""gene_symbol:SIAH2"", ""gene_symbol:AXIN1"", ""gene_symbol:SMAD4"", ""gene_symbol:NOD2"", ""gene_symbol:IDE"", ""gene_symbol:USP3"", ""gene_symbol:RNF135"", ""gene_symbol:PSME2"", ""gene_symbol:PSMB10"", ""gene_symbol:SEM1"", ""gene_symbol:NOD1"", ""gene_symbol:TRAF2"", ""gene_symbol:KDM1B"", ""gene_symbol:HIF1A"", ""gene_symbol:TNKS2"", 
""gene_symbol:RHOA"", ""gene_symbol:PSMA7"", ""gene_symbol:ADRB2"", ""gene_symbol:PSMA4"", ""gene_symbol:PSMA1"", ""gene_symbol:RCE1"", ""gene_symbol:SMURF2"", ""gene_symbol:SMAD1"", ""gene_symbol:ESR1"", ""gene_symbol:TNFAIP3"", ""gene_symbol:USP16"", ""gene_symbol:USP37"", ""gene_symbol:RUVBL1"", ""gene_symbol:ACTR5"", ""gene_symbol:HCFC1"", ""gene_symbol:MDM2"", ""gene_symbol:USP10"", ""gene_symbol:SMAD7"", ""gene_symbol:PSMB3"", ""gene_symbol:PSMD11"", ""gene_symbol:ASXL2"", ""gene_symbol:TNIP2"", ""gene_symbol:YY1"", ""gene_symbol:USP25"", 
""gene_symbol:USP42"", ""gene_symbol:TRAF6"", ""gene_symbol:PSMB2"", ""gene_symbol:PSMA3"", ""gene_symbol:SMAD2"", ""gene_symbol:KAT2A"", ""gene_symbol:PSMD4"", ""gene_symbol:ATXN3"", ""gene_symbol:OTUD7B"", ""gene_symbol:PSME3"", ""gene_symbol:EP300"", ""gene_symbol:PSMB4"", ""gene_symbol:TAF10"", ""gene_symbol:MAP3K7"", ""gene_symbol:ADRM1"", ""gene_symbol:ABRAXAS1"", ""gene_symbol:MYSM1"", ""gene_symbol:PSMC4"", ""gene_symbol:PTRH2"", ""gene_symbol:TRAF3"", ""gene_symbol:PSMD2"", ""gene_symbol:USP7"", ""gene_symbol:STAM2"", ""gene_symbol:NFRKB"", 
""gene_symbol:KAT2B"", ""gene_symbol:USP47"", ""gene_symbol:TNIP1"", ""gene_symbol:PSMA2"", ""gene_symbol:USP24"", ""gene_symbol:USP19"", ""gene_symbol:MBD6"", ""gene_symbol:USP12"", ""gene_symbol:INO80E"", ""gene_symbol:JOSD1"", ""gene_symbol:PSMD9"", ""gene_symbol:PSMA6"", ""gene_symbol:SMAD3"", ""gene_symbol:USP21"", ""gene_symbol:PSMD7"", ""gene_symbol:VCP"", ""gene_symbol:USP8"", ""gene_symbol:PSMD1"", ""gene_symbol:MDM4"", ""gene_symbol:INO80D"", ""gene_symbol:FOXK2"", ""gene_symbol:PSMD14"", ""gene_symbol:INO80"", ""gene_symbol:INO80C"", 
""gene_symbol:FOXO4"", ""gene_symbol:ASXL1"", ""gene_symbol:PSMD12"", ""gene_symbol:UBE2D1"", ""gene_symbol:PSMD8"", ""gene_symbol:BIRC2"", ""gene_symbol:PSMB6"", ""gene_symbol:INO80B"", ""gene_symbol:USP34"", ""gene_symbol:PSMD13"", ""gene_symbol:PSMC6"", ""gene_symbol:TADA3"", ""gene_symbol:OTUD3"", ""gene_symbol:STAMBPL1"", ""gene_symbol:UCHL5"", ""gene_symbol:ABRAXAS2"", ""gene_symbol:PSMD10"", ""gene_symbol:PSMB1"", ""gene_symbol:PSMD3"", ""gene_symbol:ZRANB1"", ""gene_symbol:PTEN"", ""gene_symbol:PSMC2"", ""gene_symbol:PSMB7"", ""gene_symbol:USP4"", 
""gene_symbol:UCHL3"", ""gene_symbol:PSMD5"", ""gene_symbol:PSMC3"")","0.00610771793448084","0.0707441802451497","0.961538461538462","1.45962553114004","10","2","c(""hmdb:HMDB0000182"", ""hmdb:HMDB0003405"")"
"14","Deubiquitination(wiki)","2.05290975572827e-05","0.000171453649128717","0.575610261071129","0.406517185847008","1.5275608940524","231","c(""gene_symbol:CDK1"", ""gene_symbol:CCNA2"", ""gene_symbol:PSMB8"", ""gene_symbol:TGFB1"", ""gene_symbol:PSMB9"", ""gene_symbol:CDC20"", ""gene_symbol:MYC"", ""gene_symbol:BRCA1"", ""gene_symbol:BARD1"", ""gene_symbol:TP53"", ""gene_symbol:CLSPN"", ""gene_symbol:BIRC3"", ""gene_symbol:TRIM25"", ""gene_symbol:ACTL6A"", ""gene_symbol:SKP2"", ""gene_symbol:CDC25A"", ""gene_symbol:NLRP3"", ""gene_symbol:USP18"", ""gene_symbol:IFIH1"", ""gene_symbol:RIPK1"", ""gene_symbol:TGFBR1"", ""gene_symbol:RIPK2"", ""gene_symbol:ARRB2"", ""gene_symbol:MAVS"", 
""gene_symbol:PSME1"", ""gene_symbol:TGFBR2"", ""gene_symbol:RPS27A"", ""gene_symbol:ACTB"", ""gene_symbol:PSMA5"", ""gene_symbol:NFKBIA"", ""gene_symbol:PSME4"", ""gene_symbol:UIMC1"", ""gene_symbol:SIAH2"", ""gene_symbol:AXIN1"", ""gene_symbol:SMAD4"", ""gene_symbol:NOD2"", ""gene_symbol:IDE"", ""gene_symbol:USP3"", ""gene_symbol:RNF135"", ""gene_symbol:PSME2"", ""gene_symbol:PSMB10"", ""gene_symbol:SEM1"", ""gene_symbol:NOD1"", ""gene_symbol:TRAF2"", ""gene_symbol:KDM1B"", ""gene_symbol:HIF1A"", ""gene_symbol:TNKS2"", ""gene_symbol:RHOA"", 
""gene_symbol:PSMA7"", ""gene_symbol:ADRB2"", ""gene_symbol:PSMA4"", ""gene_symbol:PSMA1"", ""gene_symbol:RCE1"", ""gene_symbol:SMURF2"", ""gene_symbol:SMAD1"", ""gene_symbol:ESR1"", ""gene_symbol:TNFAIP3"", ""gene_symbol:USP16"", ""gene_symbol:USP37"", ""gene_symbol:RUVBL1"", ""gene_symbol:ACTR5"", ""gene_symbol:HCFC1"", ""gene_symbol:MDM2"", ""gene_symbol:USP10"", ""gene_symbol:SMAD7"", ""gene_symbol:PSMB3"", ""gene_symbol:PSMD11"", ""gene_symbol:ASXL2"", ""gene_symbol:TNIP2"", ""gene_symbol:YY1"", ""gene_symbol:USP25"", ""gene_symbol:USP42"", 
""gene_symbol:TRAF6"", ""gene_symbol:PSMB2"", ""gene_symbol:PSMA3"", ""gene_symbol:SMAD2"", ""gene_symbol:KAT2A"", ""gene_symbol:PSMD4"", ""gene_symbol:ATXN3"", ""gene_symbol:OTUD7B"", ""gene_symbol:PSME3"", ""gene_symbol:EP300"", ""gene_symbol:PSMB4"", ""gene_symbol:TAF10"", ""gene_symbol:MAP3K7"", ""gene_symbol:ADRM1"", ""gene_symbol:ABRAXAS1"", ""gene_symbol:MYSM1"", ""gene_symbol:PSMC4"", ""gene_symbol:PTRH2"", ""gene_symbol:TRAF3"", ""gene_symbol:PSMD2"", ""gene_symbol:USP7"", ""gene_symbol:STAM2"", ""gene_symbol:NFRKB"", ""gene_symbol:KAT2B"", 
""gene_symbol:USP47"", ""gene_symbol:TNIP1"", ""gene_symbol:PSMA2"", ""gene_symbol:USP24"", ""gene_symbol:USP19"", ""gene_symbol:MBD6"", ""gene_symbol:USP12"", ""gene_symbol:INO80E"", ""gene_symbol:JOSD1"", ""gene_symbol:PSMD9"", ""gene_symbol:PSMA6"", ""gene_symbol:SMAD3"", ""gene_symbol:USP21"", ""gene_symbol:PSMD7"", ""gene_symbol:VCP"", ""gene_symbol:USP8"", ""gene_symbol:PSMD1"", ""gene_symbol:MDM4"", ""gene_symbol:INO80D"", ""gene_symbol:FOXK2"", ""gene_symbol:PSMD14"", ""gene_symbol:INO80"", ""gene_symbol:INO80C"", ""gene_symbol:FOXO4"", 
""gene_symbol:ASXL1"", ""gene_symbol:PSMD12"", ""gene_symbol:UBE2D1"", ""gene_symbol:PSMD8"", ""gene_symbol:BIRC2"", ""gene_symbol:PSMB6"", ""gene_symbol:INO80B"", ""gene_symbol:USP34"", ""gene_symbol:PSMD13"", ""gene_symbol:PSMC6"", ""gene_symbol:TADA3"", ""gene_symbol:OTUD3"", ""gene_symbol:STAMBPL1"", ""gene_symbol:UCHL5"", ""gene_symbol:ABRAXAS2"", ""gene_symbol:PSMD10"", ""gene_symbol:PSMB1"", ""gene_symbol:PSMD3"", ""gene_symbol:ZRANB1"", ""gene_symbol:PTEN"", ""gene_symbol:PSMC2"", ""gene_symbol:PSMB7"", ""gene_symbol:USP4"", ""gene_symbol:UCHL3"", 
""gene_symbol:PSMD5"", ""gene_symbol:PSMC3"")","0.00610771793448084","0.0707441802451497","0.961538461538462","1.45962553114004","10","2","c(""hmdb:HMDB0000182"", ""hmdb:HMDB0003405"")"
"15","Diseases of glycosylation(reactome)","0.000593597720904804","0.00299290505206817","0.477270815362862","0.418970352003448","1.51881871095098","123","c(""gene_symbol:THBS1"", ""gene_symbol:SDC1"", ""gene_symbol:BGN"", ""gene_symbol:ADAMTS7"", ""gene_symbol:HSPG2"", ""gene_symbol:ADAMTS14"", ""gene_symbol:THBS2"", ""gene_symbol:B4GALT1"", ""gene_symbol:VCAN"", ""gene_symbol:CFP"", ""gene_symbol:CHST14"", ""gene_symbol:CSPG4"", ""gene_symbol:CHSY1"", ""gene_symbol:NOTCH2"", ""gene_symbol:GALNT12"", ""gene_symbol:NOTCH1"", ""gene_symbol:ADAMTS17"", ""gene_symbol:EXT1"", ""gene_symbol:ALG13"", ""gene_symbol:ADAMTS10"", ""gene_symbol:NOTCH4"", ""gene_symbol:ADAMTS4"", ""gene_symbol:ADAMTS9"", 
""gene_symbol:ADAMTS6"", ""gene_symbol:MOGS"", ""gene_symbol:GALK1"", ""gene_symbol:ALG8"", ""gene_symbol:AGRN"", ""gene_symbol:HEXB"", ""gene_symbol:SLC26A2"", ""gene_symbol:GALNT3"", ""gene_symbol:CTSA"", ""gene_symbol:HEXA"", ""gene_symbol:GLB1"", ""gene_symbol:MGAT2"", ""gene_symbol:PMM2"", ""gene_symbol:SDC4"", ""gene_symbol:NOTCH3"", ""gene_symbol:DPM3"", ""gene_symbol:C1GALT1"", ""gene_symbol:ADAMTS13"", ""gene_symbol:SDC2"", ""gene_symbol:DPAGT1"", ""gene_symbol:EXT2"", ""gene_symbol:ALG6"")","0.0840197693574959","0.221529175050302","-0.846153846153846","-1.43865291090931","101","2","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"")"
"16","Disorders of transmembrane transporters(reactome)","0.00220935570183358","0.00912432865995943","0.431707695803346","0.394557516342583","1.44416157205258","141","c(""gene_symbol:PSMB8"", ""gene_symbol:PSMB9"", ""gene_symbol:NUP37"", ""gene_symbol:SLC7A7"", ""gene_symbol:NUP107"", ""gene_symbol:NUP188"", ""gene_symbol:NUP160"", ""gene_symbol:NUP205"", ""gene_symbol:NUP54"", ""gene_symbol:NUP85"", ""gene_symbol:AAAS"", ""gene_symbol:PSME1"", ""gene_symbol:RPS27A"", ""gene_symbol:SLC29A3"", ""gene_symbol:NUP155"", ""gene_symbol:PSMA5"", ""gene_symbol:NUP43"", ""gene_symbol:NDC1"", ""gene_symbol:NUP93"", ""gene_symbol:PSME4"", ""gene_symbol:ERLIN1"", ""gene_symbol:ABCD1"", ""gene_symbol:SLC16A1"", ""gene_symbol:CP"", 
""gene_symbol:AVPR2"", ""gene_symbol:PSME2"", ""gene_symbol:NUP153"", ""gene_symbol:NUP98"", ""gene_symbol:SLC26A2"", ""gene_symbol:PSMB10"", ""gene_symbol:NUP62"", ""gene_symbol:SEM1"", ""gene_symbol:SLC35A3"", ""gene_symbol:RAE1"", ""gene_symbol:SLC2A9"", ""gene_symbol:NUP50"", ""gene_symbol:PSMA7"", ""gene_symbol:NUP88"", ""gene_symbol:PSMA4"", ""gene_symbol:PSMA1"", ""gene_symbol:DERL2"", ""gene_symbol:SEC13"", ""gene_symbol:NUP35"", ""gene_symbol:TPR"", ""gene_symbol:SEH1L"", ""gene_symbol:NUP210"", ""gene_symbol:PSMB3"", ""gene_symbol:PSMD11"", 
""gene_symbol:SLC24A5"", ""gene_symbol:PSMB2"", ""gene_symbol:PSMA3"", ""gene_symbol:PSMD4"", ""gene_symbol:SLC3A2"", ""gene_symbol:PSME3"", ""gene_symbol:SLC35C1"", ""gene_symbol:ABCD4"", ""gene_symbol:PSMB4"", ""gene_symbol:DERL1"", ""gene_symbol:SLC22A5"", ""gene_symbol:PSMC4"", ""gene_symbol:PSMD2"", ""gene_symbol:NUP133"", ""gene_symbol:ABCA1"", ""gene_symbol:NUP214"", ""gene_symbol:PSMA2"", ""gene_symbol:SLC40A1"", ""gene_symbol:POM121"", ""gene_symbol:PSMD9"", ""gene_symbol:PSMA6"", ""gene_symbol:PSMD7"", ""gene_symbol:VCP"", ""gene_symbol:PSMD1"", 
""gene_symbol:PSMD14"", ""gene_symbol:PSMD12"", ""gene_symbol:SLC35A1"", ""gene_symbol:PSMD8"", ""gene_symbol:PSMB6"", ""gene_symbol:PSMD13"", ""gene_symbol:PSMC6"", ""gene_symbol:SLC17A5"", ""gene_symbol:ERLIN2"", ""gene_symbol:SLC39A4"", ""gene_symbol:PSMD10"", ""gene_symbol:PSMB1"", ""gene_symbol:PSMD3"", ""gene_symbol:PSMC2"", ""gene_symbol:ABCB6"", ""gene_symbol:PSMB7"", ""gene_symbol:PSMD5"", ""gene_symbol:PSMC3"", ""gene_symbol:RNF185"", ""gene_symbol:SLC33A1"")","0.00790330079033008","0.0707441802451497","0.895921672534418","1.54281864309137","16","4","c(""hmdb:HMDB0000182"", ""hmdb:HMDB0003405"")"
"17","G alpha (q) signaling events(wiki)","0.000590157741672075","0.00297923883434951","0.477270815362862","-0.246157600437506","-1.53055825799932","110","c(""gene_symbol:CCK"", ""gene_symbol:CHRM1"", ""gene_symbol:CCKBR"", ""gene_symbol:RGS4"", ""gene_symbol:ADRA1D"", ""gene_symbol:CHRM3"", ""gene_symbol:PLCB1"", ""gene_symbol:KALRN"", ""gene_symbol:TAC1"", ""gene_symbol:GNG7"", ""gene_symbol:HTR2A"", ""gene_symbol:MCHR1"", ""gene_symbol:GRM5"", ""gene_symbol:GPR39"", ""gene_symbol:NTSR2"", ""gene_symbol:GNG3"", ""gene_symbol:GRM1"", ""gene_symbol:NTSR1"", ""gene_symbol:GRP"", ""gene_symbol:HTR2C"", ""gene_symbol:EDN3"", ""gene_symbol:ADRA1A"", ""gene_symbol:HRH1"", ""gene_symbol:GNB5"", ""gene_symbol:TRHR"", 
""gene_symbol:TAC3"", ""gene_symbol:GNG4"", ""gene_symbol:OXTR"", ""gene_symbol:GPR17"", ""gene_symbol:EDNRB"", ""gene_symbol:NPSR1"", ""gene_symbol:TACR1"", ""gene_symbol:TACR3"", ""gene_symbol:GPR68"", ""gene_symbol:KISS1R"")","0.101610216546363","0.221529175050302","0.878145627472314","1.33303432903428","182","2","c(""hmdb:HMDB0000895"", ""hmdb:HMDB0000259"")"
"18","G alpha (q) signalling events(reactome)","0.00011563718029238","0.000729926189048036","0.538434096309916","-0.242411421819148","-1.58982358243547","152","c(""gene_symbol:CCK"", ""gene_symbol:CHRM1"", ""gene_symbol:CCKBR"", ""gene_symbol:RGS4"", ""gene_symbol:ADRA1D"", ""gene_symbol:CHRM3"", ""gene_symbol:DGKB"", ""gene_symbol:MGLL"", ""gene_symbol:RASGRP1"", ""gene_symbol:PLCB1"", ""gene_symbol:KALRN"", ""gene_symbol:TAC1"", ""gene_symbol:GNG7"", ""gene_symbol:DGKI"", ""gene_symbol:HTR2A"", ""gene_symbol:MCHR1"", ""gene_symbol:PRKCE"", ""gene_symbol:RASGRP2"", ""gene_symbol:GRM5"", ""gene_symbol:GPR39"", ""gene_symbol:NTSR2"", ""gene_symbol:GNG3"", ""gene_symbol:ITPR1"", ""gene_symbol:GRM1"", ""gene_symbol:NTSR1"", 
""gene_symbol:GRP"", ""gene_symbol:HTR2C"", ""gene_symbol:ABHD6"", ""gene_symbol:PRKCA"", ""gene_symbol:EDN3"", ""gene_symbol:ADRA1A"", ""gene_symbol:HRH1"", ""gene_symbol:DGKG"", ""gene_symbol:GNB5"", ""gene_symbol:TRPC3"", ""gene_symbol:TRHR"", ""gene_symbol:TAC3"", ""gene_symbol:GNG4"", ""gene_symbol:OXTR"", ""gene_symbol:GPR17"", ""gene_symbol:EDNRB"", ""gene_symbol:NPSR1"", ""gene_symbol:TACR1"", ""gene_symbol:TACR3"", ""gene_symbol:GPR68"", ""gene_symbol:KISS1R"", ""gene_symbol:PRKCQ"", ""gene_symbol:DAGLA"", ""gene_symbol:TRPC6"")","0.00139470013947001","0.0707441802451497","0.944250209318516","1.62604262330039","2","4","c(""hmdb:HMDB0000182"", ""hmdb:HMDB0000895"", ""hmdb:HMDB0003405"")"
"19","GABA metabolism (aka GHB)(wiki)","0.0220901533946432","0.0633540635278954","0.352487857583619","-0.551430114309779","-1.78192165580986","10","c(""gene_symbol:GAD1"", ""gene_symbol:ABAT"", ""gene_symbol:GAD2"", ""gene_symbol:ALDH5A1"", ""gene_symbol:GLS2"", ""gene_symbol:MAOB"")","0.152409046214356","0.298409607403992","-0.662337662337662","-1.3254097913235","154","3","c(""hmdb:HMDB0003423"", ""hmdb:HMDB0000641"", ""hmdb:HMDB0001491"")"
"20","Gastric acid production(wiki)","0.0331658291457286","0.087954055994257","0.177086917408806","-0.924737102901503","-1.49340216318428","2","c(""gene_symbol:CCK"", ""gene_symbol:GRP"")","0.0623115577889447","0.221529175050302","0.844155844155844","1.37302260585827","123","3","c(""hmdb:HMDB0000895"", ""hmdb:HMDB0303551"", ""hmdb:HMDB0303410"")"
